,Albania,Austria,Belarus,Belgium,Belgium-Luxembourg,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Czechoslovakia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Republic of Moldova,Romania,Russian Federation,Serbia,Serbia and Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom of Great Britain and Northern Ireland,USSR,Yugoslav SFR
2006,27566.0,509139.0,488785.0,357500.0,,58109.0,26328.0,57571.0,136385.0,,31779.0,2835.0,3261.0,1679328.0,947611.0,288703.0,537345.0,18200.0,2130980.0,33898.0,99481.0,9080.0,102.0,2114.0,365000.0,95826.0,14960.0,2304892.0,256618.0,202790.0,590413.0,1626000.0,240320.0,,30776.0,119176.0,650384.0,24000.0,259305.0,536500.0,269239.0,,
2007,36000.0,477882.0,262928.0,358000.0,,60962.0,26165.0,62991.0,115814.0,,32000.0,4087.0,3468.0,1781947.0,1070036.0,251408.0,586113.0,15000.0,2230191.0,30542.0,40619.0,2233.0,63.0,1907.0,391000.0,152089.0,10919.0,1039967.0,245471.0,218189.0,475370.0,2342000.0,245228.0,,17724.0,114492.0,721178.0,21000.0,274922.0,754900.0,243100.0,,
2008,45000.0,551356.0,379809.0,335000.0,,51946.0,23517.0,57341.0,154063.0,,28958.0,2248.0,4282.0,1701752.0,1046995.0,259822.0,568600.0,15600.0,2210100.0,28859.0,74251.0,3079.0,57.0,1797.0,375000.0,174315.0,16717.0,2830658.0,237011.0,255086.0,459016.0,1122400.0,235601.0,,41803.0,102893.0,661724.0,22200.0,254887.0,719200.0,242900.0,,
2009,47202.0,485609.0,431573.0,310600.0,,71507.0,35456.0,73924.0,141996.0,,27513.0,5446.0,4268.0,1729615.0,1070678.0,268322.0,575368.0,13100.0,2325653.0,12828.0,53259.0,2340.0,57.0,2877.0,407000.0,106356.0,13581.0,2626273.0,263146.0,209594.0,517491.0,1441200.0,281868.0,,37689.0,95662.0,601979.0,21000.0,251054.0,853400.0,229000.0,,
2010,54604.0,270805.0,525552.0,343980.0,,71659.0,43235.0,89124.0,99801.0,,24190.0,1983.0,4262.0,1751269.0,834960.0,273804.0,496916.0,21100.0,2204972.0,10325.0,34020.0,2406.0,51.0,2116.0,334000.0,121383.0,11491.0,1877906.0,212902.0,207903.0,552860.0,992000.0,239945.0,,34215.0,117569.0,645918.0,23500.0,201641.0,897000.0,235450.0,,
2011,64000.0,302810.0,190829.0,228405.0,,75334.0,40413.0,99676.0,84594.0,,25735.0,2702.0,5249.0,1762640.0,898448.0,274115.0,292810.0,20400.0,2411201.0,7501.0,49099.0,2130.0,42.0,2651.0,418000.0,124552.0,8469.0,2493078.0,247229.0,268842.0,620362.0,1198000.0,265576.0,,31355.0,105355.0,670264.0,20684.0,327500.0,954100.0,239890.0,,
2012,71300.0,262108.0,511471.0,220400.0,,50023.0,30942.0,37414.0,118709.0,,18731.0,1855.0,4807.0,1306333.0,972405.0,265822.0,650600.0,12100.0,1991312.0,9449.0,72497.0,1816.0,27.0,2027.0,281000.0,127171.0,10976.0,2877336.0,220761.0,281849.0,462935.0,1403000.0,243987.0,,44481.0,55300.0,481223.0,23390.0,233556.0,1126800.0,203550.0,,
2013,75730.0,234585.0,311495.0,228900.0,,85117.0,55013.0,121738.0,121803.0,,31184.0,4411.0,4905.0,1688158.0,803784.0,253700.0,591870.0,15200.0,2216963.0,14751.0,62586.0,1926.0,35.0,2518.0,314000.0,112929.0,9769.0,3085074.0,287314.0,307246.0,513580.0,1573000.0,458409.0,,45949.0,92449.0,546400.0,27400.0,210129.0,1211400.0,398500.0,,
2014,82060.0,310339.0,512641.0,318400.0,,44795.0,54502.0,96703.0,128292.0,,35371.0,2307.0,5211.0,1847551.0,1115900.0,252240.0,779850.0,19600.0,2473608.0,9623.0,60177.0,2615.0,39.0,2656.0,353000.0,95684.0,13322.0,3195299.0,273721.0,370024.0,513195.0,1624000.0,336313.0,,48494.0,99834.0,620823.0,24580.0,231343.0,1085350.0,451400.0,,
2015,91736.0,287599.0,354817.0,284210.0,,91471.0,58419.0,101752.0,155361.0,,35647.0,2700.0,6027.0,1968628.0,973462.0,267018.0,511460.0,18800.0,2473608.0,7815.0,73583.0,2419.0,28.0,2817.0,336000.0,136931.0,10800.0,3168818.0,324994.0,307660.0,476059.0,1612700.0,431759.0,,46250.0,115091.0,593592.0,25350.0,214250.0,1179570.0,459600.0,,
2016,101532.0,101667.0,508816.0,238244.0,,69062.0,44755.0,44781.0,124997.0,,36470.0,5497.0,6401.0,1823123.0,1032913.0,279665.0,497108.0,21800.0,2455616.0,9854.0,65579.0,1510.0,16.0,1638.0,317000.0,101088.0,12522.0,3604271.0,241611.0,411768.0,467259.0,1701100.0,400473.0,,20722.0,59573.0,621164.0,26280.0,227300.0,1099240.0,481100.0,,
2017,96338.0,185244.0,317078.0,86236.0,,52252.0,44927.0,56570.0,105280.0,,20496.0,3648.0,6758.0,1695949.0,596666.0,253107.0,473662.0,21369.0,1921272.0,7464.0,87367.0,983.0,21.0,1347.0,227000.0,43366.0,12664.0,2441393.0,329371.0,487161.0,348656.0,1493600.0,378644.0,,32478.0,80000.0,587034.0,22130.0,145864.0,1076180.0,535300.0,,
2018,108375.0,387950.0,700198.0,231300.0,,112513.0,50300.0,90250.0,151530.0,,32650.0,1640.0,7200.0,1740350.0,1198520.0,285810.0,678780.0,20140.0,2466990.0,13900.0,80680.0,2080.0,20.0,1688.0,269100.0,140296.0,14878.0,3999520.0,263960.0,665184.0,634770.0,1859400.0,460404.0,,43930.0,86590.0,562960.0,30610.0,296778.0,1462360.0,505600.0,,
2019,105933.0,239210.0,336697.0,259840.0,,98265.0,43620.0,68350.0,99500.0,,25210.0,1850.0,8090.0,1753500.0,991450.0,277110.0,498330.0,19880.0,2303690.0,10390.0,32070.0,1930.0,10.0,1490.0,273000.0,88701.0,15593.0,3080600.0,355700.0,610921.0,492700.0,1950800.0,499578.0,,35190.0,54270.0,638840.0,22210.0,189726.0,1153970.0,456400.0,,
